"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm_log","key","mode","danceability_.","valence_.","energy_._boxcox","acousticness_.","liveness_.","speechiness_.","streams"
34184537.5,2,"Freitag",1e-04,"July",6.31535800152233,147,43,263,45,10,826,4.8283137373023,"B","Major",80,89,503.443991379318,31,8,4,18.7669739041855
44736444,1,"Donnerstag",1e-04,"March",7.29573507274928,48,48,126,58,14,382,4.52178857704904,"C#","Major",71,61,423.714713174103,7,10,4,18.7112308446764
57679764,1,"Freitag",1e-04,"June",7.24208235925696,113,94,207,91,14,949,4.92725368515721,"F","Major",51,32,256.563882754578,17,31,6,18.757181365885
106608279,1,"Freitag",4,"August",8.96928740011841,100,116,207,125,12,548,5.13579843705026,"A","Major",55,58,406.626839296785,11,11,15,20.5011727549461
83335265,1,"Donnerstag",1e-04,"May",8.04974629095219,50,84,133,87,15,425,4.969813299576,"A","Minor",65,23,476.361168533288,14,11,6,19.5300230000721
28993103.5,2,"Donnerstag",1e-04,"June",7.68982866873648,91,67,213,88,17,946,4.94875989037817,"C#","Major",92,66,293.809893426738,19,8,24,19.0288484853744
36552427.5,2,"Donnerstag",1e-04,"March",8.03592636989179,50,34,222,43,13,418,4.99721227376411,"F","Minor",67,83,441.035092945455,48,8,3,20.4030331784745
37056443,1,"Freitag",1e-04,"July",6.57088296233958,43,25,89,30,13,194,4.60517018598809,"F","Major",67,26,398.171089263681,37,11,4,17.8785257403971
35118533,1,"Montag",1e-04,"May",6.99942246750796,83,60,210,48,11,953,4.86753445045558,"C#","Minor",85,22,324.792325459155,12,28,9,18.3716723634755
33112259.5,2,"Freitag",1e-04,"March",7.99057688174392,44,49,110,66,13,339,5.13579843705026,"D","Minor",81,56,221.03583670215,21,8,33,20.1320144975854
58735625,2,"Montag",1e-04,"April",7.96415571884094,40,41,205,54,12,251,4.4188406077966,"F#","Minor",57,56,406.626839296785,23,27,5,20.0413976843286
23173906,1,"Freitag",1e-04,"July",6.04500531403601,55,37,202,21,5,168,5.01063529409626,"F","Minor",78,52,494.361054218179,18,15,7,17.8803430585191
61563099,1,"Donnerstag",1e-04,"January",9.41009246383302,115,300,215,745,58,1021,4.77068462446567,"Keine Angabe","Major",71,65,373.161576722668,6,3,7,20.9985126986566
25392714,1,"Freitag",1e-04,"April",8.16848641712668,98,80,156,182,24,1281,4.86753445045558,"D","Minor",51,32,187.313237696657,83,9,3,19.7754089500956
55713835,1,"Donnerstag",1,"March",10.0679421075017,130,403,198,863,46,2,5.15905529921453,"F#","Minor",52,66,415.141515605453,34,31,6,21.6448180998577
65682546,1,"Donnerstag",1,"December",9.00072983494456,77,183,162,161,12,187,4.48863636973214,"G#","Major",64,43,415.141515605453,5,16,4,20.8743492351857
17251918,1,"Freitag",1e-04,"February",7.98684490116138,77,91,212,78,6,1e-04,4.78749174278205,"B","Minor",78,76,301.458399416165,43,34,3,20.023689404971
67568121,1,"Donnerstag",1e-04,"July",6.7719355558396,104,80,227,95,24,1173,4.35670882668959,"Keine Angabe","Major",44,14,17.3333333333333,96,10,3,17.2347732089166
38436853.5,2,"Freitag",1e-04,"March",7.86710550031674,40,43,100,54,14,187,4.60517018598809,"B","Major",86,67,356.791023137316,14,12,16,19.6303042549214
7511935,1,"Freitag",1e-04,"March",6.39024066706535,68,8,104,23,2,29,4.78749174278205,"G","Major",63,36,415.141515605453,1e-04,36,4,19.7109314358303
33124797.6666667,3,"Donnerstag",1e-04,"June",5.80513496891649,26,11,163,10,4,1e-04,4.9416424226093,"F","Minor",65,87,423.714713174103,22,42,4,18.2750171037676
106608279,1,"Freitag",1e-04,"July",6.24610676548156,38,73,119,42,1,150,4.81218435537242,"F#","Major",69,82,441.035092945455,6,6,3,17.7693518230757
47776446,1,"Dienstag",10,"January",9.46179923427044,110,24,98,582,2,73,4.90527477843843,"Keine Angabe","Minor",48,44,180.794072888753,12,11,3,20.9833399625852
45770087,2,"Mittwoch",1e-04,"May",7.1800698743028,40,17,152,32,11,139,4.89034912822175,"F","Minor",85,81,364.945757143636,26,12,5,19.1170588045937
59007701.6666667,3,"Freitag",1e-04,"June",7.57301725605255,87,74,182,87,14,1093,4.59511985013459,"C#","Major",85,83,373.161576722668,7,36,20,18.5636077678206
