"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
34184537.5,2,"Freitag",1e-04,"July",553,147,43,263,45,10,826,125,"B","Major",80,89,83,8,4,18.7669739041855
44736444,1,"Donnerstag",1e-04,"March",1474,48,48,126,58,14,382,92,"C#","Major",71,61,74,10,4,18.7112308446764
57679764,1,"Freitag",1e-04,"June",1397,113,94,207,91,14,949,138,"F","Major",51,32,53,31,6,18.757181365885
106608279,1,"Freitag",4,"August",7858,100,116,207,125,12,548,170,"A","Major",55,58,72,11,15,20.5011727549461
83335265,1,"Donnerstag",1e-04,"May",3133,50,84,133,87,15,425,144,"A","Minor",65,23,80,11,6,19.5300230000721
28993103.5,2,"Donnerstag",1e-04,"June",2186,91,67,213,88,17,946,141,"C#","Major",92,66,58,8,24,19.0288484853744
36552427.5,2,"Donnerstag",1e-04,"March",3090,50,34,222,43,13,418,148,"F","Minor",67,83,76,8,3,20.4030331784745
37056443,1,"Freitag",1e-04,"July",714,43,25,89,30,13,194,100,"F","Major",67,26,71,11,4,17.8785257403971
35118533,1,"Montag",1e-04,"May",1096,83,60,210,48,11,953,130,"C#","Minor",85,22,62,28,9,18.3716723634755
33112259.5,2,"Freitag",1e-04,"March",2953,44,49,110,66,13,339,170,"D","Minor",81,56,48,8,33,20.1320144975854
58735625,2,"Montag",1e-04,"April",2876,40,41,205,54,12,251,83,"F#","Minor",57,56,72,27,5,20.0413976843286
23173906,1,"Freitag",1e-04,"July",422,55,37,202,21,5,168,150,"F","Minor",78,52,82,15,7,17.8803430585191
61563099,1,"Donnerstag",1e-04,"January",12211,115,300,215,745,58,1021,118,"Keine Angabe","Major",71,65,68,3,7,20.9985126986566
25392714,1,"Freitag",1e-04,"April",3528,98,80,156,182,24,1281,130,"D","Minor",51,32,43,9,3,19.7754089500956
55713835,1,"Donnerstag",1,"March",23575,130,403,198,863,46,2,174,"F#","Minor",52,66,73,31,6,21.6448180998577
65682546,1,"Donnerstag",1,"December",8109,77,183,162,161,12,187,89,"G#","Major",64,43,73,16,4,20.8743492351857
17251918,1,"Freitag",1e-04,"February",2942,77,91,212,78,6,1e-04,120,"B","Minor",78,76,59,34,3,20.023689404971
67568121,1,"Donnerstag",1e-04,"July",873,104,80,227,95,24,1173,78,"Keine Angabe","Major",44,14,9,10,3,17.2347732089166
38436853.5,2,"Freitag",1e-04,"March",2610,40,43,100,54,14,187,100,"B","Major",86,67,66,12,16,19.6303042549214
7511935,1,"Freitag",1e-04,"March",596,68,8,104,23,2,29,120,"G","Major",63,36,73,36,4,19.7109314358303
33124797.6666667,3,"Donnerstag",1e-04,"June",332,26,11,163,10,4,1e-04,140,"F","Minor",65,87,74,42,4,18.2750171037676
106608279,1,"Freitag",1e-04,"July",516,38,73,119,42,1,150,123,"F#","Major",69,82,76,6,3,17.7693518230757
47776446,1,"Dienstag",10,"January",12859,110,24,98,582,2,73,135,"Keine Angabe","Minor",48,44,42,11,3,20.9833399625852
45770087,2,"Mittwoch",1e-04,"May",1313,40,17,152,32,11,139,133,"F","Minor",85,81,67,12,5,19.1170588045937
59007701.6666667,3,"Freitag",1e-04,"June",1945,87,74,182,87,14,1093,99,"C#","Major",85,83,68,36,20,18.5636077678206
28663783,1,"Donnerstag",1e-04,"June",250,26,16,149,10,5,168,130,"G","Minor",79,96,86,9,9,18.1760665134166
25195112,2,"Freitag",1,"March",7112,77,202,119,318,38,96,107,"B","Major",80,82,80,14,4,20.6169975582853
55346468.5,2,"Donnerstag",1e-04,"June",859,40,35,109,41,14,211,122,"F#","Minor",81,74,71,56,4,17.9303974901453
23984004,1,"Dienstag",1e-04,"January",2420,19,52,107,15,1,325,204,"F#","Major",52,52,68,15,4,19.8788999022614
66869858,1,"Donnerstag",1e-04,"May",2988,101,1e-04,1e-04,143,38,1e-04,110,"B","Minor",67,78,85,33,5,18.6629125812072
32145039,1,"Donnerstag",1e-04,"July",864,78,71,135,50,1,294,126,"F","Minor",74,35,84,11,6,16.9326265325473
41695601,2,"Mittwoch",1e-04,"June",266,34,20,185,13,8,197,168,"F#","Major",56,63,87,11,5,17.7723972863133
70621087.6666667,3,"Freitag",1,"December",6036,88,113,149,245,23,27,98,"C#","Minor",71,17,61,8,5,20.5536127076911
106608279,1,"Freitag",1,"October",9082,56,242,142,165,9,310,97,"E","Major",64,51,63,19,5,20.7230140822589
57634927,2,"Donnerstag",1e-04,"February",4284,49,115,123,184,18,354,180,"E","Minor",72,61,63,9,28,20.2436003103346
16838609,8,"Donnerstag",1e-04,"June",1150,31,22,33,34,7,184,120,"Keine Angabe","Major",81,63,68,11,4,18.6286896460683
