"listeners_cum","artist_count","released_weekday","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm_log","key","mode","danceability_.","valence_.","energy_._boxcox","acousticness_.","liveness_.","speechiness_.","streams"
61563099,1,"Donnerstag","January",9.41009246383302,115,300,215,745,58,1021,4.77068462446567,"Keine Angabe","Major",71,65,373.161576722668,6,3,7,20.9985126986566
67568121,1,"Donnerstag","July",6.7719355558396,104,80,227,95,24,1173,4.35670882668959,"Keine Angabe","Major",44,14,17.3333333333333,96,10,3,17.2347732089166
66869858,1,"Donnerstag","May",8.00235954625271,101,1e-04,1e-04,143,38,1e-04,4.70048036579242,"B","Minor",67,78,521.774185913264,2,33,5,18.6629125812072
32145039,1,"Donnerstag","July",6.76157276880406,78,71,135,50,1,294,4.83628190695148,"F","Minor",74,35,512.581811168387,1e-04,11,6,16.9326265325473
104681090,1,"Donnerstag","November",7.81722278550817,59,68,21,24,1e-04,259,4.89783979995091,"C#","Minor",59,51,249.318221765503,9,15,7,21.2228224437808
15808715,1,"Donnerstag","June",7.722677516468,59,1e-04,1e-04,109,17,1e-04,4.86753445045558,"G","Minor",67,96,549.675449152616,12,8,4,17.8738209512706
53300243,1,"Freitag","July",6.26339826259162,41,34,115,39,6,216,4.85203026391962,"Keine Angabe","Minor",86,42,406.626839296785,59,9,19,16.5888069047787
25842288.5,2,"Freitag","February",8.55333223803211,41,154,84,102,14,37,4.89034912822175,"F","Major",70,86,485.333333333333,25,25,5,18.8675348793873
58433542,1,"Freitag","July",6.01615715969835,36,36,32,31,1,26,4.9416424226093,"C#","Major",56,48,415.141515605453,1e-04,35,4,16.5088142281453
57511894,1,"Freitag","March",7.60090245954208,46,49,105,63,1,1e-04,4.60517018598809,"F#","Minor",49,17,137.375194938991,71,11,3,18.6641565077979
20462647.6666667,3,"Dienstag","August",8.71177264560569,52,201,44,6551,2,1e-04,4.98360662170834,"D","Major",63,88,597.239680514897,3,10,8,21.3929057878969
