"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
66869858,1,"Donnerstag",1e-04,"May",2988,101,1e-04,1e-04,143,38,1e-04,110,"B","Minor",67,78,85,33,5,127408954
32145039,1,"Donnerstag",1e-04,"July",864,78,71,135,50,1,294,126,"F","Minor",74,35,84,11,6,22581161
46458787,2,"Dienstag",5,"October",24094,78,372,117,843,4,69,90,"D","Major",76,91,50,7,5,2808096550
104681090,1,"Donnerstag",7,"November",2483,59,68,21,24,1e-04,259,134,"C#","Minor",59,51,52,15,7,1647990401
25842288.5,2,"Freitag",1e-04,"February",5184,41,154,84,102,14,37,133,"F","Major",70,86,81,25,5,156338624
34778147,1,"Montag",11,"May",16413,61,166,87,1056,1,2,124,"A#","Major",61,41,81,10,3,2282771485
66260015,1,"Dienstag",15,"January",33898,62,233,1e-04,4095,9,1e-04,138,"F","Minor",49,42,62,11,3,1592909789
54999955,2,"Freitag",2,"July",17050,36,492,99,798,31,1e-04,170,"C#","Major",59,48,76,10,5,2665343922
32564842,1,"Donnerstag",5,"November",17836,53,440,125,1800,1e-04,2,110,"C#","Major",50,45,41,11,3,2887241814
56100628,2,"Freitag",1,"May",8870,43,104,120,141,26,49,92,"C#","Minor",91,43,71,9,8,1440757818
19779859,1,"Freitag",6,"April",3423,21,41,100,59,1,32,117,"C#","Major",61,45,69,9,3,1116995633
47628061,1,"Dienstag",9,"December",21164,36,80,65,476,1e-04,14,100,"A#","Minor",70,47,52,6,33,1791000570
20462647.6666667,3,"Dienstag",12,"August",6074,52,201,44,6551,2,1e-04,146,"D","Major",63,88,93,10,8,1953533826
58266627.5,2,"Freitag",6,"August",15032,30,221,96,1078,2,136,115,"E","Minor",35,12,30,10,3,2355719893
74886858,1,"Sonntag",6,"January",16596,13,7,1e-04,2094,1e-04,1e-04,95,"G#","Major",60,17,45,11,2,2559529074
57289368,1,"Dienstag",6,"January",18986,23,250,121,2969,10,31,125,"A#","Minor",77,74,78,23,11,2594040133
63903238,1,"Mittwoch",11,"December",1622,9,1e-04,1e-04,356,1e-04,1e-04,144,"F","Major",73,87,70,28,5,1481349984
68919742,2,"Samstag",12,"January",36843,21,321,91,4607,1,58,128,"C#","Major",73,60,77,11,4,1235005533
63903238,1,"Mittwoch",11,"December",2420,11,1e-04,1e-04,806,1e-04,1e-04,145,"Keine Angabe","Major",60,43,27,14,4,1661187319
17994853,1,"Freitag",5,"May",5897,19,1e-04,1e-04,885,1e-04,1e-04,150,"C#","Minor",65,51,55,14,3,1374581173
106608279,1,"Mittwoch",9,"January",21335,13,328,70,1378,9,20,160,"G","Major",65,95,80,41,16,1113838873
74886858,1,"Freitag",6,"January",32181,10,33,1e-04,6808,7,1e-04,96,"C#","Minor",83,93,65,9,8,3562543890
24685031,1,"Montag",31,"September",36724,7,146,72,6807,5,80,92,"G","Major",53,12,34,12,4,1271293243
28630629,1,"Samstag",7,"August",21574,30,112,68,266,1,39,160,"A","Major",54,54,55,42,11,806397070
28383689,1,"Montag",55,"July",15890,14,71,37,653,1e-04,167,116,"Keine Angabe","Major",74,76,70,13,3,1145727611
6573255,2,"Dienstag",28,"July",10624,17,21,1e-04,386,1e-04,2,80,"G#","Major",63,40,61,56,6,1357608774
37679071,1,"Freitag",7,"September",15722,16,231,37,1509,1e-04,13,99,"A#","Major",40,45,56,9,5,2420461338
34807979,1,"Montag",20,"March",20111,5,39,1e-04,7341,1e-04,1e-04,110,"A","Major",50,24,86,64,4,1361425037
56615107,1,"Samstag",12,"January",3909,1e-04,66,26,277,3,734,100,"A","Minor",59,49,65,13,3,372476382
34807979,1,"Dienstag",23,"October",25065,6,63,1e-04,6808,2,1e-04,105,"D#","Minor",55,40,90,32,6,1624165576
28151111.75,4,"Freitag",2,"September",6180,7,122,88,580,21,10,77,"B","Minor",72,59,76,42,28,1223481149
35946623,1,"Freitag",6,"August",3600,11,7,1e-04,203,1e-04,2,140,"B","Minor",75,18,25,11,26,1022258230
48341078,2,"Freitag",2,"September",6127,13,1e-04,1e-04,1e-04,1e-04,1e-04,105,"A","Major",58,42,68,14,4,1061966512
